x,y,z
-1.152270049174006,-0.07966029299577315,-0.01343443515408671
-1.1739084623436271,0.5374109163286287,-0.03539775796001976
-1.193836911782843,1.1464109179900752,-0.06228568953389635
-1.206631207105209,1.7429320682086997,-0.08927549967419823
-1.2302142128298577,2.3525561451458135,-0.11120253650347944
-1.2441974410638148,2.957714910960092,-0.13326222562779821
-1.8489544873964936,2.9369724893710774,-0.1414266391079002
-2.4501747619311067,2.910526868246557,-0.14821908762587466
-3.0440929040678757,2.8823173639221085,-0.15602017086773246
-3.646788679367943,2.8630264858438093,-0.15735792317093789
